Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HWTestSuite2,Chrome 76.0.3809.100,,,2019-08-26 18:02:34,2019-08-26 18:04:24,1m - 50.001s,INCOMPLETE
,,,,,,,
Test Cases/Day1_Homework/HWTestCase2_manual,Chrome 76.0.3809.100,,,2019-08-26 18:02:35,2019-08-26 18:03:37,1m - 2.635s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-26 18:02:36,2019-08-26 18:02:45,9.249s,PASSED
"navigateToUrl(""https://www.allrecipes.com"")",Chrome 76.0.3809.100,,,2019-08-26 18:02:45,2019-08-26 18:03:05,19.938s,PASSED
"click(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/div_img-profile-userhead-dims""))",Chrome 76.0.3809.100,,,2019-08-26 18:03:05,2019-08-26 18:03:09,3.835s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_Sign in""))",Chrome 76.0.3809.100,,,2019-08-26 18:03:09,2019-08-26 18:03:10,1.829s,PASSED
"setText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_txtUserNameOrEmail""), ""romilovesvball@hotmail.com"")",Chrome 76.0.3809.100,,,2019-08-26 18:03:10,2019-08-26 18:03:11,0.457s,PASSED
"setEncryptedText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_password""), ""CEPYRHojllAQGKkyi7TA0g=="")",Chrome 76.0.3809.100,,,2019-08-26 18:03:11,2019-08-26 18:03:11,0.342s,PASSED
"click(findTestObject(""Page_Allrecipes - Signin/input_Forgot password_submitLogInForm""))",Chrome 76.0.3809.100,,,2019-08-26 18:03:11,2019-08-26 18:03:18,6.638s,PASSED
"setText(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/input_BROWSE_searchText""), ""mac 'n' cheese"")",Chrome 76.0.3809.100,,,2019-08-26 18:03:18,2019-08-26 18:03:20,2.098s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_BROWSE-search-magnify-dims""))",Chrome 76.0.3809.100,,,2019-08-26 18:03:20,2019-08-26 18:03:27,6.605s,PASSED
"click(findTestObject(""Page_Search - Allrecipescom/span_romilovesvball""))",Chrome 76.0.3809.100,,,2019-08-26 18:03:27,2019-08-26 18:03:31,4.167s,PASSED
"click(findTestObject(""Page_Search - Allrecipescom/button_Sign out""))",Chrome 76.0.3809.100,,,2019-08-26 18:03:31,2019-08-26 18:03:36,5.612s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-26 18:03:36,2019-08-26 18:03:37,0.918s,PASSED
,,,,,,,
Test Cases/Day1_Homework/HWTestCase3_script,Chrome 76.0.3809.100,,,2019-08-26 18:03:37,2019-08-26 18:04:24,46.292s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-26 18:03:38,2019-08-26 18:03:40,2.769s,PASSED
"navigateToUrl(""https://www.allrecipes.com"")",Chrome 76.0.3809.100,,,2019-08-26 18:03:40,2019-08-26 18:03:57,16.744s,PASSED
"click(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/div_img-profile-userhead-dims""))",Chrome 76.0.3809.100,,,2019-08-26 18:03:57,2019-08-26 18:04:00,3.199s,PASSED
"click(findTestObject(""Object Repository/Page_Allrecipes - Authentication Welcome/span_Sign in""))",Chrome 76.0.3809.100,,,2019-08-26 18:04:00,2019-08-26 18:04:02,1.975s,PASSED
"setText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_txtUserNameOrEmail""), ""romilovesvball@hotmail.com"")",Chrome 76.0.3809.100,,,2019-08-26 18:04:02,2019-08-26 18:04:03,0.550s,PASSED
"setEncryptedText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_password""), ""CEPYRHojllAQGKkyi7TA0g=="")",Chrome 76.0.3809.100,,,2019-08-26 18:04:03,2019-08-26 18:04:03,0.263s,PASSED
"click(findTestObject(""Page_Allrecipes - Signin/input_Forgot password_submitLogInForm""))",Chrome 76.0.3809.100,,,2019-08-26 18:04:03,2019-08-26 18:04:09,6.429s,PASSED
"setText(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/input_BROWSE_searchText""), ""guacamole"")",Chrome 76.0.3809.100,,,2019-08-26 18:04:09,2019-08-26 18:04:12,2.633s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_BROWSE-search-magnify-dims""))",Chrome 76.0.3809.100,,,2019-08-26 18:04:12,2019-08-26 18:04:18,6.266s,PASSED
"click(findTestObject(""Object Repository/Page_Search - Allrecipescom/span_romilovesvball""))",Chrome 76.0.3809.100,,,2019-08-26 18:04:18,2019-08-26 18:04:22,4.105s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-26 18:04:22,2019-08-26 18:04:24,1.041s,PASSED
